"@timestamp",message
"Mar 31, 2026 @ 09:37:18.780","[639105394387792996] Error con el Servicio de Evaluaciones : https://evaluaciones.unir.net/api/v1/niveles-asociados-escalas/configuracion-escala , Method: POST , Headers: Accept: application/json
X-Api-Key: 22d4ebc6-b0a9-45a7-8872-ee00497a14f9
newrelic: eyJ2IjpbMCwxXSwiZCI6eyJ0eSI6IkFwcCIsImFjIjoiMzc0MzUyNiIsImFwIjoiNDQwMDcyMTg2IiwidHIiOiJhMWQ4MjA2MDI2YTdiMmVmMmM2YWM3MDRkZWEyMmViMCIsInByIjowLjAsInNhIjpmYWxzZSwidGkiOjE3NzQ5NDI2Mzg2OTYsInR4IjoiNTRhYjJkNjA4NzQxOTM3MyIsImlkIjoiNWVjMDQ3MDkzYTBlMjQ2MSJ9fQ==
traceparent: 00-a1d8206026a7b2ef2c6ac704dea22eb0-5ec047093a0e2461-00
tracestate: 3743526@nr=0-0-3743526-440072186-5ec047093a0e2461-54ab2d6087419373-0-0-1774942638696
 , Body: {""where"":[{""field"":""idAsignaturaOfertada"",""value"":null},{""field"":""idAsignaturaPlan"",""value"":null},{""field"":""idEstudio"",""value"":null},{""field"":""idPlanEstudio"",""value"":5992}]} , Mensaje del error: {""code"":null,""message"":""No se encontr/u00F3 ninguna Versi/u00F3n de Configuraci/u00F3n en estado Definitivo asociada a la entidad indicada ni a ninguna de las entidades a las que pertenece"",""details"":[]} , StatusCode: BadRequest"
"Mar 31, 2026 @ 09:38:20.321","[639105395003209226] Error con el Servicio de Evaluaciones : https://evaluaciones.unir.net/api/v1/niveles-asociados-escalas/configuracion-escala , Method: POST , Headers: Accept: application/json
X-Api-Key: 22d4ebc6-b0a9-45a7-8872-ee00497a14f9
newrelic: eyJ2IjpbMCwxXSwiZCI6eyJ0eSI6IkFwcCIsImFjIjoiMzc0MzUyNiIsImFwIjoiNDQwMDcyMTg2IiwidHIiOiJmZmFkOTYwMTVhZDliMmMxZTIxNzQyM2JmMzM5Nzg0MCIsInByIjowLjAsInNhIjpmYWxzZSwidGkiOjE3NzQ5NDI3MDAyMzcsInR4IjoiNGY1ODVmZTg2ZjNkZTg5MyIsImlkIjoiZDY0MDNiYzQyNzExZWVjYyJ9fQ==
traceparent: 00-ffad96015ad9b2c1e217423bf3397840-d6403bc42711eecc-00
tracestate: 3743526@nr=0-0-3743526-440072186-d6403bc42711eecc-4f585fe86f3de893-0-0-1774942700237
 , Body: {""where"":[{""field"":""idAsignaturaOfertada"",""value"":null},{""field"":""idAsignaturaPlan"",""value"":null},{""field"":""idEstudio"",""value"":null},{""field"":""idPlanEstudio"",""value"":5992}]} , Mensaje del error: {""code"":null,""message"":""No se encontr/u00F3 ninguna Versi/u00F3n de Configuraci/u00F3n en estado Definitivo asociada a la entidad indicada ni a ninguna de las entidades a las que pertenece"",""details"":[]} , StatusCode: BadRequest"
"Mar 31, 2026 @ 09:38:35.042","[639105395150425280] Error con el Servicio de Evaluaciones : https://evaluaciones.unir.net/api/v1/niveles-asociados-escalas/configuracion-escala , Method: POST , Headers: Accept: application/json
X-Api-Key: 22d4ebc6-b0a9-45a7-8872-ee00497a14f9
newrelic: eyJ2IjpbMCwxXSwiZCI6eyJ0eSI6IkFwcCIsImFjIjoiMzc0MzUyNiIsImFwIjoiNDQwMDcyMTg2IiwidHIiOiIzMDNhNTcxZDU1MTY4MmUwMTM4MWZmNzg1Y2E4ODk1NiIsInByIjoxLjE4MjY3NCwic2EiOnRydWUsInRpIjoxNzc0OTQyNzE0OTU2LCJ0eCI6IjliODdiYjllOGRhMmRmYjMiLCJpZCI6Ijk3NTRlMzZhZWIyYzUyOTIifX0=
traceparent: 00-303a571d551682e01381ff785ca88956-9754e36aeb2c5292-01
tracestate: 3743526@nr=0-0-3743526-440072186-9754e36aeb2c5292-9b87bb9e8da2dfb3-1-1.182674-1774942714956
 , Body: {""where"":[{""field"":""idAsignaturaOfertada"",""value"":null},{""field"":""idAsignaturaPlan"",""value"":null},{""field"":""idEstudio"",""value"":null},{""field"":""idPlanEstudio"",""value"":5992}]} , Mensaje del error: {""code"":null,""message"":""No se encontr/u00F3 ninguna Versi/u00F3n de Configuraci/u00F3n en estado Definitivo asociada a la entidad indicada ni a ninguna de las entidades a las que pertenece"",""details"":[]} , StatusCode: BadRequest"
"Mar 31, 2026 @ 09:39:40.196","Ocurrió una Excepción del tipo: System.AggregateException
One or more errors occurred. (No hay notas en la Nota Final Generada)
   at System.Threading.Tasks.Task.Wait(Int32 millisecondsTimeout, CancellationToken cancellationToken)
   at Unir.Framework.Crosscutting.RabbitMqBus.RabbitMqBusListener.DeserializeAndProcessForSuscriberAsync(String messageKey, String messageName, String messageContent, String messageSender)
   at Unir.Framework.Crosscutting.RabbitMqBus.RabbitMqBusListener.DeserializeAndProcessForSuscriberAsync(String messageKey, String messageName, String messageContent, String messageSender)
   at Unir.Framework.Crosscutting.RabbitMqBus.RabbitMqBusListener.ProcessMessagesForSubscriberAsync(Object sender, BasicDeliverEventArgs eventArgs)
No hay notas en la Nota Final Generada
   at Unir.Expedientes.WebUi.Subscriptions.NotaFinalGeneradaSubscriptor.HandleAsync(MessageContext`1 message) in /src/Web/Subscriptions/NotaFinalGeneradaSubscriptor.cs:line 22
   at Unir.Framework.Crosscutting.RabbitMqBus.RabbitMqBusListener.<>c__DisplayClass24_0.<<DeserializeAndProcessForSuscriberAsync>b__5>d.MoveNext()

Ha ocurrido un error durante la Deserialización y/o Proceso del Mensaje con Key: '6851e357-ed8f-4072-9815-ffeb876bdaa5', Nombre: 'NotaFinalGenerada' y Contenido: '{""Plataforma"":""canvas"",""Provisional"":true,""IdCurso"":819296,""IdUsuarioPublicadorConfirmador"":50025482,""IdActa"":null,""Notas"":[]}'."
"Mar 31, 2026 @ 09:39:59.131","[639105395991310447] Error con el Servicio de Evaluaciones : https://evaluaciones.unir.net/api/v1/niveles-asociados-escalas/configuracion-escala , Method: POST , Headers: Accept: application/json
X-Api-Key: 22d4ebc6-b0a9-45a7-8872-ee00497a14f9
newrelic: eyJ2IjpbMCwxXSwiZCI6eyJ0eSI6IkFwcCIsImFjIjoiMzc0MzUyNiIsImFwIjoiNDQwMDcyMTg2IiwidHIiOiI5MzI1YzkzNWY2MmU0Y2ZiODcxYTUxZDZlZTNhZDhiMCIsInByIjowLjAsInNhIjpmYWxzZSwidGkiOjE3NzQ5NDI3OTkwNDcsInR4IjoiMTdkNmU3NjBjNjI0NTE0NSIsImlkIjoiNmJlMTUwNmVhYWFmNjc4YiJ9fQ==
traceparent: 00-9325c935f62e4cfb871a51d6ee3ad8b0-6be1506eaaaf678b-00
tracestate: 3743526@nr=0-0-3743526-440072186-6be1506eaaaf678b-17d6e760c6245145-0-0-1774942799047
 , Body: {""where"":[{""field"":""idAsignaturaOfertada"",""value"":null},{""field"":""idAsignaturaPlan"",""value"":null},{""field"":""idEstudio"",""value"":null},{""field"":""idPlanEstudio"",""value"":5992}]} , Mensaje del error: {""code"":null,""message"":""No se encontr/u00F3 ninguna Versi/u00F3n de Configuraci/u00F3n en estado Definitivo asociada a la entidad indicada ni a ninguna de las entidades a las que pertenece"",""details"":[]} , StatusCode: BadRequest"
"Mar 31, 2026 @ 09:40:14.515","[639105396145160099] Error con el Servicio de Evaluaciones : https://evaluaciones.unir.net/api/v1/niveles-asociados-escalas/configuracion-escala , Method: POST , Headers: Accept: application/json
X-Api-Key: 22d4ebc6-b0a9-45a7-8872-ee00497a14f9
newrelic: eyJ2IjpbMCwxXSwiZCI6eyJ0eSI6IkFwcCIsImFjIjoiMzc0MzUyNiIsImFwIjoiNDQwMDcyMTg2IiwidHIiOiIzNTAyMDkzOTE4MWU1MmEwZmM0ZDVhM2Q1NjYxMjBjMSIsInByIjoxLjE5MTEyOCwic2EiOnRydWUsInRpIjoxNzc0OTQyODE0MzY2LCJ0eCI6ImY1MDUyYzQwYWE0ZjFjMDQiLCJpZCI6Ijc2NjNlOWZhZDVkMjE1YjkifX0=
traceparent: 00-35020939181e52a0fc4d5a3d566120c1-7663e9fad5d215b9-01
tracestate: 3743526@nr=0-0-3743526-440072186-7663e9fad5d215b9-f5052c40aa4f1c04-1-1.191128-1774942814366
 , Body: {""where"":[{""field"":""idAsignaturaOfertada"",""value"":null},{""field"":""idAsignaturaPlan"",""value"":null},{""field"":""idEstudio"",""value"":null},{""field"":""idPlanEstudio"",""value"":5992}]} , Mensaje del error: {""code"":null,""message"":""No se encontr/u00F3 ninguna Versi/u00F3n de Configuraci/u00F3n en estado Definitivo asociada a la entidad indicada ni a ninguna de las entidades a las que pertenece"",""details"":[]} , StatusCode: BadRequest"
"Mar 31, 2026 @ 09:42:00.458","[639105397204585016] Error con el Servicio de Evaluaciones : https://evaluaciones.unir.net/api/v1/niveles-asociados-escalas/configuracion-escala , Method: POST , Headers: Accept: application/json
X-Api-Key: 22d4ebc6-b0a9-45a7-8872-ee00497a14f9
newrelic: eyJ2IjpbMCwxXSwiZCI6eyJ0eSI6IkFwcCIsImFjIjoiMzc0MzUyNiIsImFwIjoiNDQwMDcyMTg2IiwidHIiOiJkNmZhYjVjNzFjNjdiYWU0NDgyMjc2MzZmOWEzY2YyMCIsInByIjowLjAsInNhIjpmYWxzZSwidGkiOjE3NzQ5NDI5MjAzNzIsInR4IjoiNTQ4YTg4MGVmZGYxNTkzYSIsImlkIjoiYmVjYjk2YzhkMDIyODFhMSJ9fQ==
traceparent: 00-d6fab5c71c67bae448227636f9a3cf20-becb96c8d02281a1-00
tracestate: 3743526@nr=0-0-3743526-440072186-becb96c8d02281a1-548a880efdf1593a-0-0-1774942920372
 , Body: {""where"":[{""field"":""idAsignaturaOfertada"",""value"":null},{""field"":""idAsignaturaPlan"",""value"":null},{""field"":""idEstudio"",""value"":null},{""field"":""idPlanEstudio"",""value"":5992}]} , Mensaje del error: {""code"":null,""message"":""No se encontr/u00F3 ninguna Versi/u00F3n de Configuraci/u00F3n en estado Definitivo asociada a la entidad indicada ni a ninguna de las entidades a las que pertenece"",""details"":[]} , StatusCode: BadRequest"
"Mar 31, 2026 @ 09:42:20.690","[639105397406907058] Error con el Servicio de Evaluaciones : https://evaluaciones.unir.net/api/v1/niveles-asociados-escalas/configuracion-escala , Method: POST , Headers: Accept: application/json
X-Api-Key: 22d4ebc6-b0a9-45a7-8872-ee00497a14f9
newrelic: eyJ2IjpbMCwxXSwiZCI6eyJ0eSI6IkFwcCIsImFjIjoiMzc0MzUyNiIsImFwIjoiNDQwMDcyMTg2IiwidHIiOiJmNGU3NGVlNjNkMzI5YjQwMDcxZGExNTg1OGJmNDI5NiIsInByIjoxLjUyNzE1Miwic2EiOnRydWUsInRpIjoxNzc0OTQyOTQwNjAzLCJ0eCI6IjY5NzdhYjExMTc1Y2VjNjQiLCJpZCI6IjBlZDgxNTY2ZTMwNWJjZTYifX0=
traceparent: 00-f4e74ee63d329b40071da15858bf4296-0ed81566e305bce6-01
tracestate: 3743526@nr=0-0-3743526-440072186-0ed81566e305bce6-6977ab11175cec64-1-1.527152-1774942940603
 , Body: {""where"":[{""field"":""idAsignaturaOfertada"",""value"":null},{""field"":""idAsignaturaPlan"",""value"":null},{""field"":""idEstudio"",""value"":null},{""field"":""idPlanEstudio"",""value"":5992}]} , Mensaje del error: {""code"":null,""message"":""No se encontr/u00F3 ninguna Versi/u00F3n de Configuraci/u00F3n en estado Definitivo asociada a la entidad indicada ni a ninguna de las entidades a las que pertenece"",""details"":[]} , StatusCode: BadRequest"
"Mar 31, 2026 @ 09:43:04.775","[639105397847758032] Error con el Servicio de Evaluaciones : https://evaluaciones.unir.net/api/v1/niveles-asociados-escalas/configuracion-escala , Method: POST , Headers: Accept: application/json
X-Api-Key: 22d4ebc6-b0a9-45a7-8872-ee00497a14f9
newrelic: eyJ2IjpbMCwxXSwiZCI6eyJ0eSI6IkFwcCIsImFjIjoiMzc0MzUyNiIsImFwIjoiNDQwMDcyMTg2IiwidHIiOiI4YWM1ZDU4OTFiMzg2Mjc5NmIwZmYzNWVhMDk0NGQ3MCIsInByIjowLjAsInNhIjpmYWxzZSwidGkiOjE3NzQ5NDI5ODQ2NzcsInR4IjoiZWI0ZmM5MjE1YzA3ZDNjNCIsImlkIjoiMGQwYzY5MGYwOWI4NTA0YSJ9fQ==
traceparent: 00-8ac5d5891b3862796b0ff35ea0944d70-0d0c690f09b8504a-00
tracestate: 3743526@nr=0-0-3743526-440072186-0d0c690f09b8504a-eb4fc9215c07d3c4-0-0-1774942984677
 , Body: {""where"":[{""field"":""idAsignaturaOfertada"",""value"":null},{""field"":""idAsignaturaPlan"",""value"":null},{""field"":""idEstudio"",""value"":null},{""field"":""idPlanEstudio"",""value"":5992}]} , Mensaje del error: {""code"":null,""message"":""No se encontr/u00F3 ninguna Versi/u00F3n de Configuraci/u00F3n en estado Definitivo asociada a la entidad indicada ni a ninguna de las entidades a las que pertenece"",""details"":[]} , StatusCode: BadRequest"
"Mar 31, 2026 @ 09:43:25.373","[639105398053738934] Error con el Servicio de Gestor Api : https://gestorapi.unir.net/api/v1/estudios/obtener-estado-curso-por-alumno/933487/944196 , Method: GET , Headers: Accept: application/json
X-Api-Key: 028f952c-acca-4c05-9ab6-73700061e51d
 , Body: api/v1/estudios/obtener-estado-curso-por-alumno/933487/944196 , Mensaje del error: ""No se han encontrado datos para el alumno."" , StatusCode: BadRequest"
